#DAYS	13522_MAG	13522_ERR	99em_MAG	99em_ERR	98S_MAG	98S_ERR	88Z_MAG	87A_MAG	10jl_MAG	10jl_ERR	97cy_MAG
270.47	0	0	0	0	0	0	0	4.64	0	0	0
270.48	0	0	0	0	0	0	0	4.63	0	0	0
271.16	0	0	0	0	0	0	0	4.62	0	0	0
271.99	0	0	0	0	0	0	0	4.62	0	0	0
272.17	0	0	0	0	0	0	0	4.63	0	0	0
272.45	0	0	0	0	0	0	0	4.66	0	0	0
272.46	0	0	0	0	0	0	0	4.66	0	0	0
273.02	0	0	0	0	0	0	0	4.64	0	0	0
273.22	0	0	0	0	0	0	0	4.65	0	0	0
274.06	0	0	0	0	0	0	0	4.65	0	0	0
275.15	0	0	0	0	0	0	0	4.66	0	0	0
276.14	0	0	0	0	0	0	0	4.68	0	0	0
278.04	0	0	0	0	0	0	0	4.69	0	0	0
278.2	0	0	0	0	0	0	0	4.7	0	0	0
279.44	0	0	0	0	0	0	0	4.71	0	0	0
280.07	0	0	0	0	0	0	0	4.71	0	0	0
